correct_cascades,incorrect_cascades,no_cascades
805,195,0
794,206,0
786,214,0
781,219,0
789,211,0
791,209,0
794,206,0
795,205,0
777,223,0
787,213,0
807,193,0
760,240,0
792,208,0
810,190,0
800,200,0
794,206,0
797,203,0
806,194,0
782,218,0
811,189,0
809,191,0
825,175,0
810,190,0
795,205,0
807,193,0
794,206,0
825,175,0
793,207,0
782,218,0
809,191,0
770,230,0
803,197,0
788,212,0
805,195,0
785,215,0
810,190,0
798,202,0
790,210,0
803,197,0
774,226,0
790,210,0
800,200,0
786,214,0
789,211,0
786,214,0
792,208,0
782,218,0
821,179,0
802,198,0
821,179,0
784,216,0
794,206,0
796,204,0
805,195,0
783,217,0
810,190,0
799,201,0
800,200,0
773,227,0
780,220,0
791,209,0
801,199,0
807,193,0
822,178,0
803,197,0
797,203,0
798,202,0
796,204,0
802,198,0
785,215,0
786,214,0
795,205,0
788,212,0
803,197,0
800,200,0
809,191,0
793,207,0
784,216,0
831,169,0
803,197,0
774,226,0
775,225,0
815,185,0
780,220,0
783,217,0
795,205,0
816,184,0
838,162,0
812,188,0
817,183,0
815,185,0
804,196,0
794,206,0
792,208,0
771,229,0
817,183,0
821,179,0
793,207,0
806,194,0
807,193,0
