correct_cascades,incorrect_cascades,no_cascades
797,203,0
789,211,0
785,215,0
795,205,0
799,201,0
767,233,0
795,205,0
792,208,0
788,212,0
814,186,0
801,199,0
786,214,0
805,195,0
786,214,0
795,205,0
792,208,0
783,217,0
750,250,0
768,232,0
784,216,0
786,214,0
784,216,0
792,208,0
809,191,0
792,208,0
770,230,0
805,195,0
782,218,0
812,188,0
789,211,0
797,203,0
788,212,0
791,209,0
779,221,0
779,221,0
787,213,0
792,208,0
813,187,0
770,230,0
811,189,0
787,213,0
783,217,0
792,208,0
778,222,0
788,212,0
789,211,0
794,206,0
797,203,0
790,210,0
795,205,0
787,213,0
791,209,0
799,201,0
817,183,0
780,220,0
780,220,0
810,190,0
814,186,0
779,221,0
780,220,0
773,227,0
814,186,0
790,210,0
768,232,0
801,199,0
773,227,0
805,195,0
805,195,0
796,204,0
798,202,0
794,206,0
792,208,0
787,213,0
790,210,0
804,196,0
778,222,0
792,208,0
798,202,0
787,213,0
770,230,0
822,178,0
807,193,0
784,216,0
801,199,0
788,212,0
803,197,0
794,206,0
796,204,0
792,208,0
787,213,0
794,206,0
802,198,0
783,217,0
801,199,0
820,180,0
784,216,0
794,206,0
791,209,0
791,209,0
803,197,0
